Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
18630452,17988709,Undirected,,,101,33,37,0
28723206,6181056,Undirected,,,103,20,7,0
28723206,50396974,Undirected,,,103,20,7,0
28723206,47440110,Undirected,,,102,20,7,0
28723206,68511063,Undirected,,,102,20,7,0
25774093,2581592,Undirected,,,106,49,45,0
52086816,70080153,Undirected,,,102,41,11,0
40421448,17988709,Undirected,,,101,33,37,0
12011774,2581592,Undirected,,,109,49,45,0
46745872,2581592,Undirected,,,102,49,45,0
29477293,2581592,Undirected,,,112,49,45,0
11094493,17988709,Undirected,,,101,33,37,0
62507485,74209455,Undirected,,,112,4,46,0
42912261,42425473,Undirected,,,112,36,37,0
42912261,11199676,Undirected,,,110,36,45,0
55691915,58260222,Undirected,,,101,41,43,0
47663781,7131073,Undirected,,,106,41,21,0
49564365,58260222,Undirected,,,102,41,43,0
11389744,40662590,Undirected,,,100,29,45,0
54381785,2581592,Undirected,,,117,49,45,0
71650597,2581592,Undirected,,,121,49,45,0
7131073,784251,Undirected,,,108,21,41,0
7131073,67272662,Undirected,,,101,21,41,0
7131073,52098221,Undirected,,,104,21,41,0
7131073,74503703,Undirected,,,106,21,41,0
7131073,31617755,Undirected,,,106,21,41,0
7131073,22835705,Undirected,,,101,21,41,0
7131073,36000711,Undirected,,,106,21,41,0
7131073,54260906,Undirected,,,106,21,41,0
7131073,74800177,Undirected,,,107,21,41,0
7131073,23191989,Undirected,,,101,21,41,0
65982507,2581592,Undirected,,,111,49,45,0
70898049,47436615,Undirected,,,101,22,20,0
36295171,20535673,Undirected,,,100,12,46,0
16306706,27878744,Undirected,,,100,22,36,0
26301243,13425878,Undirected,,,100,41,30,0
47436615,38331600,Undirected,,,100,20,22,0
47436615,29555917,Undirected,,,100,20,22,0
47436615,34601057,Undirected,,,103,20,22,0
51729246,25815160,Undirected,,,106,16,45,0
71750616,4478628,Undirected,,,104,32,22,0
21058645,20150471,Undirected,,,101,46,9,0
25810043,42950765,Undirected,,,100,45,28,0
70341894,48390650,Undirected,,,100,29,36,0
70341894,35020355,Undirected,,,100,29,36,0
9885301,4478628,Undirected,,,100,32,22,0
4478628,6747071,Undirected,,,100,22,32,0
4478628,38696393,Undirected,,,100,22,32,0
4478628,2877940,Undirected,,,102,22,32,0
4478628,43578350,Undirected,,,100,22,32,0
4478628,29319606,Undirected,,,100,22,32,0
4478628,11491786,Undirected,,,101,22,32,0
4478628,14937763,Undirected,,,100,22,32,0
15390440,48390650,Undirected,,,100,29,36,0
15390440,35020355,Undirected,,,100,29,36,0
7984910,4216807,Undirected,,,100,44,29,0
7984910,8385590,Undirected,,,103,44,32,0
19486556,48390650,Undirected,,,102,29,36,0
19486556,35020355,Undirected,,,100,29,36,0
59561841,2581592,Undirected,,,119,49,45,0
4216807,76117280,Undirected,,,102,29,44,0
38951061,2581592,Undirected,,,101,49,45,0
26958378,11199676,Undirected,,,108,36,45,0
26958378,42425473,Undirected,,,109,36,37,0
3201828,2581592,Undirected,,,113,49,45,0
15064033,11199676,Undirected,,,106,36,45,0
15064033,42425473,Undirected,,,106,36,37,0
42425473,48717789,Undirected,,,113,37,36,0
42425473,36204200,Undirected,,,107,37,36,0
42425473,18833042,Undirected,,,109,37,36,0
42425473,23028197,Undirected,,,109,37,36,0
35020355,51868580,Undirected,,,100,36,29,0
35020355,35877105,Undirected,,,100,36,29,0
72441428,61471215,Undirected,,,100,51,47,0
18833042,11199676,Undirected,,,108,36,45,0
24534730,2581592,Undirected,,,120,49,45,0
70934273,2581592,Undirected,,,110,49,45,0
29417394,68744999,Undirected,,,101,47,51,0
48717789,11199676,Undirected,,,111,36,45,0
29319142,2581592,Undirected,,,113,49,45,0
42885158,25815160,Undirected,,,109,16,45,0
42950765,48983757,Undirected,,,132,28,45,0
33382618,42263848,Undirected,,,100,30,23,0
27287993,2581592,Undirected,,,123,49,45,0
23028197,11199676,Undirected,,,108,36,45,0
48390650,35877105,Undirected,,,100,36,29,0
28205670,17988709,Undirected,,,101,33,37,0
31122280,2581592,Undirected,,,120,49,45,0
2581592,70680189,Undirected,,,110,45,49,0
2581592,66186410,Undirected,,,123,45,49,0
2581592,78898900,Undirected,,,112,45,49,0
2581592,37485156,Undirected,,,100,45,49,0
2581592,20442921,Undirected,,,106,45,49,0
2581592,44334365,Undirected,,,101,45,49,0
2581592,23821746,Undirected,,,108,45,49,0
2581592,64218633,Undirected,,,112,45,49,0
2581592,45808481,Undirected,,,124,45,49,0
11199676,27878744,Undirected,,,101,45,36,0
11199676,36204200,Undirected,,,105,45,36,0
70804937,58260222,Undirected,,,101,41,43,0
68675382,47999134,Undirected,,,101,23,19,0
62941107,25815160,Undirected,,,110,16,45,0
25815160,37319029,Undirected,,,109,45,16,0
38595875,78675149,Undirected,,,100,30,25,0
48492091,61471215,Undirected,,,101,51,47,0
16904573,61471215,Undirected,,,101,51,47,0
22934295,58260222,Undirected,,,105,41,43,0
25162711,58260222,Undirected,,,102,41,43,0
8385590,76117280,Undirected,,,100,32,44,0
54392205,194486,Undirected,,,116,6,20,0
68744999,61471215,Undirected,,,102,51,47,0
61471215,46824970,Undirected,,,100,47,51,0
29456904,17988709,Undirected,,,100,33,37,0
58260222,72351465,Undirected,,,104,43,41,0
17988709,76906313,Undirected,,,100,37,33,0
2588,49485041,Undirected,,,181,47,47,1
4477,69483410,Undirected,,,200,23,23,1
5019,29390305,Undirected,,,172,45,45,1
20562,40033196,Undirected,,,117,20,20,1
21940,49145455,Undirected,,,153,22,22,1
22826,14608229,Undirected,,,220,24,24,1
25496,49932328,Undirected,,,216,3,3,1
28601,64192174,Undirected,,,162,27,27,1
30985,53574166,Undirected,,,214,22,22,1
31770,4226821,Undirected,,,127,42,42,1
